Question,Answer
What is a debtor?,A debtor is a person or entity that owes money to the Department. A debtor has a debt or legal obligation to pay another person or entity
What are Dimensions?,A Dimension is the term used in Microsoft Dynamics NAV to define an analysis category. Dimensions are used to group  or categorize  data for the purpose of analysis. Dimensions consist of Dimension Values. A Dimension Value is a “subcategory” or a “tag” attached to data to conduct meaningful analysis (think of them like article tags on a blog). A Dimension can consist of any amount of Dimension Values. The most common dimension code is a Cost Centre
What is forecasting?,A financial forecast is an estimate of future financial outcomes for an entity. Financial forecasts estimate future income and expenses over a period of time. They are used to develop projections for profit and loss statements  balance sheets and other cash flow forecasts
What is a fixed asset?,A fixed asset is a long-term tangible assets (i.e. property  land or buildings) that the Department owns and uses. It is not expected to be converted into cash in the short term.
What is a gift?,A gift is any item  cash or goods  or any service which is offered for personal benefit at no cost or at a cost that’s less than the commercial value.  It includes all transactions economically equivalent to free and unremunerated transfers from departments to others. 
What is the Contingency Fund?,A government fund enabling the Treasury to make repayable cash advances to departments for new or existing urgent services that cannot await the voting of funds under the normal Supply procedure  in anticipation of the necessary parliamentary approval.
What is a journal?,A journal is the accounting record of a particular transaction. Examples include sales journal  purchase journal  cash receipts journal and a general journal.
What is Value for Money?,A key concept in use of public funs is achieving value for money. The principle is relevant to on all aspects of deployment of public resources: procurement  asset managements  disposals  administrative systems and financing arrangements such as leases and pfi. It means finding solutions which achieve the best mix of quality and effectiveness for the least outlay. NAO select a range of programmes / operations to review and produce a report to Parliament. These reports are discussed at the PAC  at which both minister and senior civil servants may be required to give evidence
What is VFM?,A key concept in use of public funds is achieving value for money. The principle is relevant to on all aspects of deployment of public resources: procurement  asset managements  disposals  administrative systems and financing arrangements such as leases and pfi. It means finding solutions which achieve the best mix of quality and effectiveness for the least outlay. NAO select a range of programmes / operations to review and produce a report to Parliament. These reports are discussed at the PAC  at which both minister and senior civil servants may be required to give evidence
What is a liability?,A liability is an obligation and it is reported on a departmental accounts/ balance sheet. A common example of a liability is accounts payable. Accounts payable arise when a company purchases good or services on credit from a supplier. When the company pays the supplier  the company’s accounts payable is reduced
How do I access Business Central?,"Business Central can be accessed via the Finance Den. 
"
What is a non-statutory liability?,A moral obligation to meet liabilities that are outside the normal course of Departmental business. An example might be compensation for asbestos contamination from buildings owned by the Department.
What is a pressure?,"A pressure is when actual spend is expected to surpass that which was budgeted for. If you are concerned about a pressure  please contact your FBP. You can find out who your Finance Business Partner is by reviewing the FBP Directory linked below:

"
What is a provision?,A provision is an amount that you put in aside in your accounts to cover a future liability which is probable  but the amount and timing is uncertain
What is a Purchase Order (PO)?,A Purchase Order (PO) is a commercial document issued by a buyer to a seller indicating types  quantities  and agreed prices for products or services. It is used to control the purchasing of products and services from external suppliers. More information about the purchasing process can be found here: 
What is a Quality Assurance (QA) log?,"A Quality Assurance (QA) log is the standard way to record and document the QA processes undertaken on a piece of analysis.  There are different QA logs available for different types of work (modelling  data analysis and dashboards).

For finance related work  it is recommend to use the Data Analysis log.

More information about QA can be found here       "
What is depreciation?,A reduction in the value of an asset over the life of the asset. The DfE accounting policy sets out the asset lives for different types of assets.
What is a risk register?,A risk register is a document used as a risk management tool and to fulfil regulatory compliance acting as a repository for all risks identified and includes additional information about each risk  e.g. nature of the risk  reference and owner  mitigation measures. 
What is a sensitivity?,A sensitivity is a variable that is liable to change based on other impacting variables. For example  the cost of a packet of crisps is likely to be impacted by the price of potatoes. The price of the potato is a sensitivity.
What is a Service Level Agreement (SLA)?,a service level agreement (SLA) is defined as an official commitment that prevails between a service provider and the customer. Particular aspects of the service – quality  availability  responsibilities  financial reporting  funding arrangements – are agreed between the service provider and the service user.
What is an SLA?,a service level agreement (SLA) is defined as an official commitment that prevails between a service provider and the customer. Particular aspects of the service – quality  availability  responsibilities  financial reporting  funding arrangements – are agreed between the service provider and the service user.
How do we access the Jaggaer system?,Access to Jaggaer is restricted to Commercial colleagues. You can check contract numbers via Business Central.
What access will we have as requisitioners or contract managers to Jaggaer?,Access to Jaggaer is restricted to Commercial colleagues. You can check contract numbers via Business Central.
What is the Principal Accounting Officer?,Accountable to Minister and Parliament for all DfE resources including Agencies  NDPBs and other ALBs - the Principal Accounting Officer is usually the Permanent Secretary. Responsible for budget and commercial delegation to Directorates and Agency CEO
What is the new email address for DfE invoicing?,accountspayable.OCR@education.gov.uk 
What is accrual accounting?,Accrual accounting is the principle by which the cost of activity is recognised at the time when activity happens  as opposed to when the invoice is paid (cash accounting).
What are admin costs?,Admin costs are associated with running the business  not delivering the project. They are part of the overheads of the organisation.
How do I get the correct access on SFRS?,"All requests are now raised via an IT Service Request which requires Finance Business Partner authorisation. The excel forms are no longer accepted.  Finance Business Partners will provide guidance on the access required.  To find your Finance Business Partner  please use the following link:

https://educationgovuk.sharepoint.com/sites/how-do-i/SitePages/finance-business-partners.aspx"
Who is the Department for Educations (DFE's) contact at HMRC for Value Added Tax (VAT)?,All Value Added Tax (VAT) queries should come through the VAT mailbox. They can be contacted at VAT.TEAM@education.gov.uk.
What is an estimate memorandum?,Alongside the estimates  the Department is required to produce an estimates memorandum to the education select committee. The purpose of the memorandum is to provide the select committee with an explanation of the implications and consequences of the changes sought in the estimate. This includes details of the reasons for changes and the impact of revised spending plans on budgets and Departmental targets. The Memorandum are published on the Select Committee's website.
What is a prepayment?,Amounts paid for by the business in advance of the goods or service being received at the period or year end e.g. training course booking fee. Theses amounts need to be deducted from expenses in order to show a true picture in the profit and loss amount. It is important to note that while it is acceptable to pre-pay  you should be careful not to fund in advance of need
What is an Accounting Officer Assessment?,An accounting officer assessment should always be produced for projects or programmes which form part of the Government’s Major Projects Portfolio (GMPP)  alongside the request for the accounting officer’s approval of the Outline Business Case (or at the point when it enters the GMPP if this is later). An updated accounting officer assessment should be prepared at subsequent stages of the project if it departs from the four standards or the agreed plan – including any contingency – in terms of costs  benefits  timescales  or level of risk  which informed the accounting officer’s previous approval. 
What is an accruals?,"An accrual is a balance that reflects either revenue earned or expenses liable for  when cash has not been exchanged as yet. For example  if you buy a TV and have not paid the cash as yet  you would have an accrual for the value of the TV. When the cash is exchanged  the accrual is removed. If you are unsure how to calculate this figure  please contact your Finance Business Partner. 

You can find out who your Finance Business Partner is by reviewing the FBP Directory linked below: https://educationgovuk.sharepoint.com/sites/how-do-i/SitePages/finance-business-partners.aspx"
What are actual liabilities?,An actual liability arises when the Department gives a specific guarantee  indemnity  letter or statement of comfort which results in a legal or moral responsibility on the Department to meet certain costs where the amounts and timing are known. As the Department is actually meeting the cost of these liabilities there is usually a provision for the future costs in the Resource Accounts.
What is the income and expenditure account?,An income and expenditure account is a financial statement that shows an entity's revenue  expenses and profit for a period of time.
What is an intangible asset?,An intangible asset is an asset that is not physical in nature. Corporate intellectual property  including items such as patents  trademarks  copyrights and business methodologies  are intangible assets  as are goodwill and brand recognition. Expenditure on intangible assets are classed as capital expenditure
What is an operating lease?,An operating lease in the rental of an asset from a lessor. The operating lease concept allows a business to keep from recording an asset on its balance sheets. This type of arrangement is known as off-balance sheet financing
What is an overrun?,"An overrun is when more is spent than was initially planned or budgeted for. If you are concerned about an actual or potential overspend  please contact your Finance Business Partner. 

You can find out who your Finance Business Partner is by reviewing the FBP Directory linked: "
What is an overspend?,"An overspend is when more is spent than was initially planned or budgeted for. If you are concerned about an actual or potential overspend  please contact your Finance Business Partner. 

You can find out who your Finance Business Partner is by reviewing the FBP Directory linked: "
What are annual accounts?,Annual accounts are usually described as “financial accounts”  “company accounts” or “statutory accounts”. Annual accounts provide a comprehensive report of a company's financial activity over the last financial year. DfE's latest accounts can be found here: https://www.gov.uk/government/collections/dfe-annual-reports
What is Annually Managed Expenditure?,Annual managed expenditure  or AME  refers to expenditure on programmes which is demand-led – such as welfare  tax credits or public sector pensions.  The expenditure is volatile and is agreed annually with HMT.  It is outside the Spending Review spending controls.  In DfE the common AME budgets are movements on provisions  student loan issues and repayments  ECITB and CITB total expenditure  and Teachers Pensions.
What is a finance lease?,As part of a finance lease  the lessor buys the asset for the lessee and rents it to them for an agreed period. Finance leases are classed as capital expenditure
What is a debit?,As part of the double entry accountancy  every entry on a general ledger must have a debit or a credit. A debit refers to an accounting entry recording a sum owed
What is a BACS payment?,BACS (Bank Automated Clearing System) is a system for making electronic payments direct payments between bank accounts. There are two types of BACS payments: direct debits and BACS direct credit.  It is departmental policy to make payments by BACS  apart from some exceptional circumstances e.g. paying other government departments  or ALBs
What is a Capital Cost?,Capital costs are fixed  one-time expenses incurred on the purchase of land  buildings  construction  and equipment used in the production of goods or in the rendering of services.
What is capital?,Capital costs are fixed  one-time expenses incurred on the purchase of land  buildings  construction  and equipment used in the production of goods or in the rendering of services.
what is capital expenditure?,Capital Expenditure is money spent by a business or organization on acquiring or maintaining fixed assets  such as land  buildings  and equipment.
Are Catalogue (BC) and Category Codes (SOP) the same?,Catalogue Codes are the same as Category Codes in SOP. Microsoft and Oracle chose to name them differently  so we are moving to the Microsoft naming convention in BC.
Are the Category Codes and lines different to those on SOP?,Category Codes are now called Catalogue Codes in BC. These are mostly the same as in SOP  with some minor adjustments.
What is CDEL?,"CDEL means ""capital Departmental Expenditure Limit"".  This is money within Departmental Expenditure Limits that is spent on investment and things that will create growth in the future."
How can I search all of the suppliers in Business Central?,Click ‘Vendors’ (towards the top left of the Business Central home screen. Click into the ‘Search’ field. You can search by Vendor number  name  UPIN  UKPRN  Companies House Number  or any other field in this list (Scroll from left to right of the page to see them all). To open a specific vendor card  click on the relevant vendor number (left most column)
What is cost classification?,HMT are responsible for the budgeting regime. The total amount that the Department spends is referred to as Total Managed Expenditure or TME. HMT classifies budgets as either Annually Managed Expenditure  AME or Departmental Expenditure Limit  DEL. Together these types of spend make TME. AME budgets are volatile or demand-led so are difficult to control  however Departments are expected to monitor AME forecasts closely. Cost behaviours of DEL budgets are controllable and these form the Department’s control totals against which we are assessed by Parliament (this is published in the Department's Annual Report and Accounts). DEL budgets are split into Capital (CDEL) and Resource (RDEL). The CDEL budget generally covers ‘Financial Transactions’ for loans given and ‘General Capital’ for spending on all other assets or investments.  RDEL is split into ‘Programme’ budgets for direct frontline service provision and ‘Administration’ budgets for the running costs of the Department. 
What do Central Strategic Finance do in relation to business cases?,CSF sets out the latest affordability position  at local budget as well as departmental level  with FBPs within their business case. CSF to reflect any affordability concerns or funding dependencies within the business case alongside the fiscal context. CSF will work with the Investment Management Team to reflect concerns around the prioritisation of funding for each BC in the overarching advice to Invest-Co. CSF are responsible for engaging HM Treasury  including sharing the business case  to secure specific approval for proposals where that approval is needed. 
What is a current asset?,Current assets are balance sheet accounts that represent the value of all assets that can be expected to be converted into cash within one year. Current assets include cash and cash equivalents  accounts receivable  inventory  prepaid expenses and other liquid assets that can be readily converted to cash
What is Delegated Financial Authority (DFA)?,"Delegated financial authority (DFA) means the granting of power to approve operating or capital expenditure  asset disposals  and revenue generating activities resulting in the raising of an invoice for payment by a third party within the financial delegation limits given. Appointment as a DFA requires the delegation of a particular level of authority (£ and budgets) which can be delegated by the budget manager. Requests for changes to DFA must go via the Service Portal. Further guidance can be found here:

"
Who will set up suppliers and contracts on Business Central?,Existing suppliers will be migrated from SOP  new suppliers should register via gov.uk. Contracts will need to be set up in Jaggaer (contracts are migrating from Redimo and other sources).
Who are the Value Added Tax (VAT) experts?,For more information  please contact the VAT Team at VAT.TEAM@education.gov.uk
How can I improve the Governance and Documentation elements of the Quality Assurance (QA) process?,"Recommended actions to help improve the scores within the Governance and Dcumentation section:
- ensure all relevant documents are written to a high standard
- ensure all the relevant processes have been completed

In some instances  a piece of analysis may score poorly in this section if it is a simple data refresh and not all Documentation and Governance processes are undertaken.  In such instances  it may be advisable to adjust the weightings of each pillar within the framework before the QA log is completed.

More information about QA can be found here "
Are Grants subject to Value Added Tax (VAT)?,Grant are not subject to Value Added Tax (VAT)  however irrecoverable VAT can be included in the costs detailed by an applicant. For more information please contact VAT.TEAM@education.gov.uk 
When will Grant funding be paid out of Business Central?,Grant funding will always be paid to recipients on the 9th and last working days of each month. For further information and guidance on payment dates  please refer to the Payments Timetable section under the Grants Administration page on the Finance DEN: 
What is GRNI?,GRNI stands for Goods Received Not Invoiced. This is an accrual for goods receipted on a Purchase Order  where the invoice has not yet arrived.
How do I pay a non-staff expense?,"If a non-DfE employee is to be allowed to claim expenses they must first be set up on Business Central as Vendor.  Guidance on how to set up a person as a Vendor can be found here: https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Set-up-and-mainta.aspx 

Once they are set-up  they can submit a Non-Staff Expenses Form to a DfE employee  who will then follow the processes to get the payment onto BC.  Guidance on this can be found here:  https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Non-Staff%20Expenses.aspx?csf=1&e=r982gG  "
What can happen without sufficient Quality Assurance (QA)?,"For example  in 2012  the Department for Transport (DfT) cancelled a rail franchise deal after uncovering mistakes in their cost benefits modelling. The DfT had to reimburse four firms for the cost of their bids (£40m); pay staff and lawyers for two reviews into the fiasco (£8.9m); and three Civil Servants were suspended. The House of Commons Liaison Committee found that “significant risk issues were identified through internal and external quality assurance (QA) procedures”. 

More information about QA can be found here "
Who does Quality Assurance (QA)?,"In the Department for Education (DfE)  analysis and modelling contribute to core business operations and it is essential that our analysis is credible. Robust Quality Assurance (QA) will ensure this. We need to provide complete assurance to the Permanent Secretary that risks involving modelling and analysis are being appropriately managed. We made a commitment in the 2017/18 financial statements to the strengthen the QA arrangements within the department. QA should be considered by everybody in DfE involved in either creating data analysis or using the outputs. 

More information about QA can be found here "
How do I do Quality Assurance (QA)?,"Included within the Data Analysis Quality Assurance (QA) log there are are some suggestions of QA checks which you may wish to perform when assessing the verification pillar as separate tabs. These are only suggestions and it is likely that addtional checks may need to be performed. Also consider other checks that aren’t relevant for your analysis. Further guidance and advice can be sought from your local QA  Champion or QA Officer.

More information about QA can be found here "
How do I pay an invoice?,Invoices will now follow the Purchase to Pay (P2P) process. All invoices must be supported by a Purchase Order (PO) and suppliers must ensure that the invoice descriptions are consistent with the PO. Purchase to Pay Guidance can be found here: 
What do I do about paying a contractor?,Invoices will now follow the Purchase to Pay (P2P) process. All invoices must be supported by a Purchase Order (PO) and suppliers must ensure that the invoice descriptions are consistent with the PO. Purchase to Pay Guidance can be found here: 
What is irrecoverable Value Added Tax (VAT)?,Irrecoverable Value Added Tax (VAT) can not be reclaimed from HMRC and is thus a net cost to DfE. For more information  please contact the VAT Team at VAT.TEAM@education.gov.uk.
Do we automatically have the same access in Business Central as we have in SOP?,It depends on your role  we recently asked business areas to tell us who will be undertaking roles in BC  so access to BC will be based on the responses received.
How do I raise a PO for someone who is not Value Added Tax (VAT) registered?,It is irrelevant whether an entity is Value Added Tax (VAT) registered or not. Just select the most appropriate code. Please contact VAT.TEAM@education.gov.uk if you require more information.
What is Value Added Tax (VAT)?,It stands for value-added tax and it adds to the cost of nearly everything you buy in the UK. VAT is either charged at 20% (for most goods and services)  5% (applied to some health  energy  heating  and protective products and services) or 0% (applied to a range of products and services to do with health  building  publishing and kids?? clothing). For more information  please contact the VAT Team at VAT.TEAM@education.gov.uk
What happens if you’re not given enough time for Quality Assurance (QA)?  ,"Mandatory Quality Assurance (QA) checks should always be completed.  However  beyond this  the key issue in this situation is that whoever commissioned and/or is receiving the analysis  needs to understand that they hold ownership of the risk(s) associated with insufficient time for QA.  Importantly  you should ensure that this has been written down even if you’ve had a conversation with someone and they’ve confirmed they’re content to own the risk(s).  

More information about QA can be found here "
How do I complete a Business Central Manual Payment Template?,Manual Templates allow Grant Administrator’s to make manual corrections/adjustments to values  which can ultimately be used to generate payments and/or recoveries  within Business Central. The Manual Payments Template section under the Grants Administration page on the Finance DEN contains downloadable copies of Templates and provides detailed guidance. This information can be accessed via: https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Manual-Adjustment-Purchase-Journal.aspx
What is the Ambit?,Ministers are only able to fund their activities if Parliament provides the resources. Parliament does this through the Estimate process. 'Ambit' is the term used for the descriptive information written in the Estimate. It sets out what the department can use the voted budget for. The ambit also forms the schedule to the annual Appropriation Act. Departments rely on this act as the underpinning legislation for administrative spend. 
What is Consolidated Budgeting Guidance?,More information can be found here with regards to Consolidated Budgeting Guidance: 
Should I charge Value Added Tax (VAT) on an invoice to Jersey?,No - Jersey is outside of the EU. For more information please contact VAT.TEAM@education.gov.uk
Do I accrue for recoverable Value Added Tax (VAT) at year end?,No - the accounting system will do this automatically.
Can we recover Value Added Tax (VAT) on name badges and document holders?,"No - the VAT is not recoverable. 

Please contact VAT.TEAM@education.gov.uk if you require more information."
Is Value Added Tax (VAT) recoverable on temporary staff?,"No - the VAT is not recoverable. 

Please contact VAT.TEAM@education.gov.uk if you require more information."
Is Value Added Tax (VAT) on Stationery recoverable?,No - the VAT is not recoverable. Please contact VAT.TEAM@education.gov.uk if you require more information.
Is a 6th form college registered for Value Added Tax (VAT) under DfE's VAT Number?,No it is not. Please contact VAT.TEAM@education.gov.uk if you require more information.
Would Value Added Tax (VAT) be due on contributions to a pension fund?,No this is out of scope for VAT. Please contact VAT.TEAM@education.gov.uk if you require more information.
Should Value Added Tax (VAT) be charged on bursaries?,No  this is exempt per HMRC guidance. Please contact VAT.TEAM@education.gov.uk if you require more information.
Do we need to charge Value Added Tax (VAT) on the Apprenticeship levy?,Per HMRC  the levy is exempt and so no VAT needs to be charged. Please contact VAT.TEAM@education.gov.uk if you require more information.
How do I reclaim Value Added Tax (VAT)?,Please contact VAT.TEAM@education.gov.uk for more guidance around this.
Is Value Added Tax (VAT) recoverable for audit costs?,Please contact VAT.TEAM@education.gov.uk for more guidance around this.
When do I reclaim Value Added Tax (VAT)?,Please contact VAT.TEAM@education.gov.uk for more guidance around this.
How do I pay an invoice where only some items have Value Added Tax (VAT) attached to them?,Please speak to your Finance Business Partner about this. You can find out who your Finance Business Partner is here: https://educationgovuk.sharepoint.com/sites/how-do-i/SitePages/finance-business-partners.aspx
What is Quality Assurance (QA)?,"Quality Assurance (QA) is a way of preventing mistakes and defects in models and other creations. 

More information about QA can be found here "
What is recoverable Value Added Tax (VAT)?,Recoverable Value Added Tax (VAT) can be reclaimed from HMRC and is thus not a net cost to DfE. For more information  please contact the VAT Team at VAT.TEAM@education.gov.uk.
How does a supplier submit their Purchase Order (PO) invoice for payment?,"Refer to the Finance Den 
"
What is my role in Quality Assurance as a Finance Business Partner (FBP)?,"Roles and responsibilities for everyone involved in Quality Assurance (QA) are in the Department for Educaion (DfE) Quality Assurance Framework (section 5).  But  the key roles for an Finance Business Partner (FBP) are to feed in requirements and understand uncertainty in any relevant outputs. In some cases  it might be important for you to attend a Challenge Session; this will give you an opportunity to ask questions and ensure you understand the analysis and ask about uncertainty.

More information about QA can be found here "
How do I use SFRS?,"SFRS is ""Strategic Financial Resourcing System"". Finance colleagues and budget managers use SFRS for monitoring financial budgets  forecasts and actuals across the Department. Group Support Teams  HR colleagues and senior managers use the Workforce Reports in SFRS to manage their resource and track trends. More information can be found here: "
What is SFRS?,"SFRS is ""Strategic Financial Resourcing System"". Finance colleagues and budget managers use SFRS for monitoring financial budgets  forecasts and actuals across the Department. Group Support Teams  HR colleagues and senior managers use the Workforce Reports in SFRS to manage their resource and track trends. More information can be found here: https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/SFRS.aspx?web=1"
What is Value Added Tax (VAT) exempt?,Some items are exempt from Value Added Tax (VAT) by law.  They include the following: insurance; providing credit; education and training  if certain conditions are met; fundraising events by charities  if certain conditions are met; membership subscriptions; and most services provided by doctors and dentists. For more help  please contact VAT.TEAM@education.gov.uk.
Where do I find a SOP6 form?,SOP Forms are no longer relevant in Business Central. The Outside-Of-Timetable (OoT) payments process is replacing the current SOP6 process for unscheduled payments that are not scheduled on the Payments Timetable. Payments will only be made by BACS. Once the payment has been approved  Finance Operations will confirm a payment date. Please take note  all requested payment values over £1 million must have been cash-forecasted to ensure that DfE has secured the funds from HM Treasury in advance of payment. Further guidance can be found here: 
Where do I find a SOP1 form?,SOP Forms are no longer relevant on Business Central. Grants Guidance can be found here: 
Where do I find a SOP21 Form?,"SOP Forms are no longer relevant on Business Central. If a non-DfE employee is to be allowed to claim expenses they must first be set up on Business Central as Vendor.  Guidance on how to set up a person as a Vendor can be found here: https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Set-up-and-mainta.aspx 

Once they are set-up  they can submit a Non-Staff Expenses Form to a DfE employee  who will then follow the processes to get the payment onto BC.  Guidance on this can be found here:  https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Non-Staff%20Expenses.aspx?csf=1&e=r982gG  "
Where do I find a SOP5 Form?,SOP Forms are no longer relevant on Business Central. If the value is less than £50 000  the preferred route is to use a Purchasing (Procurement) Card. If it is not possible to use a Purchasing Card  or if the value exceeds £50 000  then a Foreign Payments Template should be used. Guidance on both using a Purchasing Card and Template can be found here: 
How do I complete a SOP14 form?,SOP14 Forms are no longer relevant on Business Central. Guidance on requesting a Sales Invoice can be found here: 
What is a SOP 14 Form?,SOP14 Forms are no longer relevant on Business Central. Guidance on requesting a Sales Invoice can be found here: 
Where can I find a SOP14 form?,SOP14 Forms are no longer relevant on Business Central. Guidance on requesting a Sales Invoice can be found here: 
What is a supply estimate?,Supply estimates are the means of obtaining the legal authority from Parliament to consume resources and spend cash in a financial year (April to March). In plain English  the Main Supply estimate is the Department’s annual budget. We have one opportunity to update the budgets before the end of the financial year via the Supplementary Estimate. After the Estimates are laid in Parliament there is an Estimates Day debate in the main chamber. The House decides which Departments are chosen to be included in the debate.
What is difference between the Core PO number and UNAP number when raising Purchase Order (PO)?,"The approved PO Number with the all digits (e.g. CORE-PO-000083) is the PO number that should be sent to a Supplier.
The UNAP number is the requisition number when the PO hasn't yet been approved. The UNAP enables questioners to search for a PO before it has been approved."
What is Book Value?,The book value of an asset is the value at which the asset is carried on a balance sheet and calculated by taking the cost of an asset minus the accumulated depreciation (also known as net book value)
How can I check my Grant funding request has been processed and paid?,The Business Central Vendor Ledger (VLE) allows you to check whether Grant funding has been processed and paid  on a transactional level. Details on how to browse the VLE is available on the Finance DEN and should be covered in your Grants training sessions
What determines if Value Added Tax (VAT) is recoverable? Is it Catalogue Code or VAT posting?,The Catalogue code determines Value Added Tax (VAT). VAT posting is auto populated when selecting a Catalogue code.
How do I raise a Purchase Order (PO)?,The Finance Den has some great and short videos on how to set up a purchase order and getting it approved. Please visit the following link for more information: 
How do I raise a requisition?,The Finance Den has some great and short videos on how to set up a purchase order and getting it approved. Please visit the following link for more information: 
How do I set up a Purchase Order (PO)?,The Finance Den has some great and short videos on how to set up a purchase order and getting it approved. Please visit the following link for more information: 
How do I create a Purchase Order (PO)?,The Finance Den has some great and short videos on how to set up a purchase order and getting it approved. Please visit the following link for more information: 
What is the Department for Education (DfE) Quality Assurance (QA) Framework?,"The framework aims to ensure that Quality Assurance (QA) is applied consistently across the department. It states that outputs should address the initial purpose of the work; be as reliable and accurate as possible; and have a clear audit trail  ownership and approval. 

More information about QA can be found here "
What Quality Assurance (QA) checks are required?,"The level of Quality Assurance (QA) should be proportionate to the complexity and risk of the model or analysis. As a guide  a QA log is required for every model or piece of analysis that takes at least 3 days of resource  or where there are high risks associated with the outputs. 

More information about QA can be found here "
What Quality Assurance (QA) is required for business cases?,"The level of Quality Assurance (QA) should be proportionate to the complexity and risk of the model or analysis. As a guide  a QA log is required for every model or piece of analysis that takes at least 3 days of resource  or where there are high risks associated with the outputs. 

More information about QA can be found here "
What Quality Assurance (QA) activities do I need to do?,"The level of Quality Assurance (QA) should be proportionate to the complexity and risk of the model or analysis. As a guide  a QA log is required for every model or piece of analysis that takes at least 3 days of resource  or where there are high risks associated with the outputs. 

More information about QA can be found here "
What Quality Assurance (QA) should I be doing on financial case?,"The level of Quality Assurance (QA) should be proportionate to the complexity and risk of the model or analysis. As a guide  a QA log is required for every model or piece of analysis that takes at least 3 days of resource  or where there are high risks associated with the outputs. 

More information about QA can be found here"
What is a main estimate?,The Main Estimate is the Department's annual budget published by HMT in April. It sets the legal authority on what and how much we can spend in the financial year.
How does Social Research (SR) fit into the Quality Assurance (QA) framework?,"The overarching principals of the Quality Assurance (QA) framework should also be applied to Social Research (SR)  although we appreciate that the framework may not be as easy to translate to all aspects of this type of analysis.  We are working with the Head of Profession for Social Research to develop a proposal for SR which we will signpost to from the QA page.

More information about QA can be found here"
If the Value Added Tax (VAT) rate changes during the lifetime of a contract  what rate of VAT is charged?,The prevailing rate of Value Added Tax (VAT) should be charged if there is a change. Please contact VAT.TEAM@education.gov.uk if you require more information.
What is standard rate Value Added Tax (VAT)?,The standard rate of Value Added Tax (VAT) is the default rate – this is the rate that is charged on most goods and services in the UK unless they are specifically identified as being reduced or zero-rated. For more help  please contact VAT.TEAM@education.gov.uk.
